w_c,w_s,p,r_in,h,n_rings,r_out,gamma_eff,bias_g05,bias_g50,bias_g90,solve_s
0.5,2.4,2.9,5.0,0.25,29,10.8,0.85,8.301112949249401e-07,0.00010413292524702467,0.0019209668175834693,1.1
0.5,2.4,2.9,6.0,0.25,29,11.8,0.85,1.6261608404288808e-07,4.5595705626677585e-06,0.0031453531983334226,1.3
0.5,2.4,2.9,7.0,0.25,29,12.8,0.9,2.0715906656754157e-07,4.82333635020149e-05,8.306428976823099e-05,1.5
0.5,2.4,2.9,8.0,0.25,29,13.8,0.9,4.973553059395286e-07,1.2862864370855043e-05,0.00012665218625129704,1.6
0.5,2.4,2.9,9.0,0.25,29,14.8,0.9,1.4470650432363286e-06,0.000112294987184125,0.0003565817009458794,1.7
0.5,2.4,2.9,10.0,0.25,29,15.8,0.8,1.8908497068093055e-06,0.00019544255721959392,0.0018720102080743706,1.9
0.8,0.4,1.2000000000000002,3.0,0.2,68,8.0,0.75,1.8084613262470128e-07,3.679801574785202e-06,0.20460365840444616,1.4
0.8,0.4,1.2000000000000002,4.0,0.2,68,9.0,0.8,1.530590442166968e-07,1.4238262397991974e-05,0.026615219932109246,2.2
0.8,0.4,1.2000000000000002,5.0,0.2,68,10.0,0.85,1.395600441878031e-07,1.8488790906268093e-05,0.004112601847712671,2.5
0.8,0.4,1.2000000000000002,6.0,0.2,68,11.0,0.85,5.40390180492345e-07,2.7813329609771564e-05,0.003622807961800145,3.3
0.8,0.4,1.2000000000000002,7.0,0.2,68,12.0,0.85,5.491431713799955e-07,4.0461551440995613e-05,0.003957630680038182,3.7
0.8,0.4,1.2000000000000002,8.0,0.2,68,13.0,0.9,5.83247898977568e-07,5.3319030631326925e-05,0.0003243642683963266,4.4
0.8,0.4,1.2000000000000002,9.0,0.2,68,14.0,0.9,6.497262866611564e-07,7.21414788608099e-05,6.179106746029284e-05,4.6
0.8,0.4,1.2000000000000002,10.0,0.2,68,15.0,0.9,7.664941116258817e-07,0.00010944180169381035,0.0002675788261226053,5.5
0.8,0.5,1.3,3.0,0.25,63,8.0,0.7,1.519564882812574e-06,8.589151046556331e-05,0.0780955135657262,0.9
0.8,0.5,1.3,4.0,0.25,63,9.0,0.75,5.536301923569908e-07,7.470590747016281e-05,0.010191519111171665,1.1
0.8,0.5,1.3,5.0,0.25,63,10.0,0.8,2.3096273304989978e-07,7.864325254125504e-06,0.009417135920511077,1.3
